Remetente - Nome;Veículo - Placa;CTE;Data emissão Cte; Total ;Mês emissão Cte;REQ/TMC/N° Embarque;Data RQ/TMC;Data Envio do processo Faturamento;Faturas;Data INCLUSÃO Fatura Bsoft;1° Envio;Data do atesto;Envio final;OBSERVAÇÃO
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22355;22/jul/25;R$ 1.220,59;jul/25;522579431;22/jul/25;22/jul/25;;;28/jul/25;;;"Carga agendada #: 522579431    BRA IM 25 2532-2533-  2528 -2534- 1890  WS  CC 110141008  CONTA CONTABIL 500210     Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22354;22/jul/25;R$ 635,75;jul/25;522579431;22/jul/25;22/jul/25;;;28/jul/25;;;"Carga agendada #: 522579431  BRAIM 25 1832- 1833    DB CC 160053200 CONTA CONTABIL 500210  Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22353;22/jul/25;R$ 521,40;jul/25;522579431;22/jul/25;22/jul/25;;;28/jul/25;;;"Carga agendada #: 522579431   BRA IM 25 1064  -2058  AL CC 140010000 CONTA CONTABIL 500210    Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22352;22/jul/25;R$ 787,26;jul/25;522579431;22/jul/25;22/jul/25;;;28/jul/25;;;"Carga agendada #: 522579431    BRA IM 25 2425- 2621 PP  CC 175160000 CONTA CONTABIL 500210   Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22351;22/jul/25;R$ 973,63;jul/25;522007647;22/jul/25;22/jul/25;;;29/jul/25;;;"Carga agendada #: 522007647   BRA EX 25 0316    ALS 140010000  CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22350;22/jul/25;R$ 580,05;jul/25;522007647;22/jul/25;22/jul/25;;;29/jul/25;;;"Carga agendada #: 522007647   BRA EX 25 0315- DS 175093101   CONTA CONTABIL 500210    Veiculo Placa: KOR7G99  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22349;22/jul/25;R$ 1.485,77;jul/25;522007647;22/jul/25;22/jul/25;;;29/jul/25;;;"Carga agendada #: 522007647   BRA EX 25 0299- DS CC 120158023  CONTA CONTABIL 500210 Veiculo Placa: KXO7J95  -  Motorista: DANIEL LADEIRA PRAZERES;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22348;22/jul/25;R$ 622,28;jul/25;522497185;22/jul/25;22/jul/25;;;24/jul/25;;;"Carga agendada #: 522497185    BRA IM 25 2380  OIC 350090753  CONTA  CONTABIL 500210    Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22347;22/jul/25;R$ 613,93;jul/25;522497185;22/jul/25;22/jul/25;;;24/jul/25;;;"Carga agendada #: 522497185    BRA IM 25 1476 DCF   CC  120161004  CONTA CONTABIL 500210 Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22346;22/jul/25;R$ 920,70;jul/25;522497185;22/jul/25;22/jul/25;;;24/jul/25;;;"Carga agendada #: 522497185    BRA IM 25 2606  PP  CC 175160000 CONTA CONTABIL 500210 Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22344;22/jul/25;R$ 2.619,67;jul/25;522497185;22/jul/25;22/jul/25;;;24/jul/25;;;"Carga agendada #: 522497185     BRA IM 25 2333-2404- 2398- 2603- 2415   CWI CC 870151700 CONTA CONTABIL 500210   Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KQO5E26;22343;22/jul/25;R$ 1.335,65;jul/25;522497185;22/jul/25;22/jul/25;;;24/jul/25;;;"Carga agendada #: 522497185      BRA IM 25 2501-2509- 2506- 2491-2514  DS CC 120158023 CONTA CONTA CONTABIL 500210 Veiculo Placa: KQO5E26  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;970;22/jul/25;R$ 1.030,42;jul/25;;22/jul/25;22/jul/25;;;;;;
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22365;23/jul/25;R$ 893,30;jul/25;522770419;23/jul/25;23/jul/25;;;29/jul/25;;;"Carga agendada #: 522770419      BRA IM 25 2608- 2402-     PP   CC  175092701  CONTA CONTABIL 500210 Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22364;23/jul/25;R$ 1.398,13;jul/25;522770419;23/jul/25;23/jul/25;;;29/jul/25;;;"Carga agendada #: 522770419      BRA IM 25 2488- 2510-  2494- 2476  DS CC 120158023 CONTA CONTABIL 500210  Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22363;23/jul/25;R$ 1.329,26;jul/25;522770419;23/jul/25;23/jul/25;;;29/jul/25;;;"Carga agendada #: 522770419     BRA IM 25 1167- 2543-  2546 - 2539- 2019   WS  CC 110141008  CONTA CONTABIL 500210 Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22362;23/jul/25;R$ 724,06;jul/25;522770419;23/jul/25;23/jul/25;;;29/jul/25;;;"Carga agendada #: 522770419    BRAIM 25 2636 CWI   CC 870151700  CONTA CONTABIL 500210 Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22361;23/jul/25;R$ 1.032,43;jul/25;522770419;23/jul/25;23/jul/25;;;29/jul/25;;;"Carga agendada #: 522770419    BRA IM 25 2431  AL CC 140010000  CONTA CONTABIL 500210   Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;22360;23/jul/25;R$ 3.762,71;jul/25;522514318;23/jul/25;23/jul/25;;;31/jul/25;;;" Carga agendada #: 522514318     BRAEX 25 0341- 0342   DS CC 120158023 CONTA CONTABIL 500210   Veiculo Placa: KYE1I22  -  Motorista: DANIEL LADEIRA PRAZERES;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22359;23/jul/25;R$ 1.165,05;jul/25;522192513;23/jul/25;23/jul/25;;;29/jul/25;;;"Carga agendada #: 522192513          BRA EX 25 0344   -WS 110141008  CONTA CONTABIL 500210           Veiculo Placa: KXO7J95  -  Motorista: DANIEL LADEIRA PRAZERES;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22358;23/jul/25;R$ 1.058,62;jul/25;522192513;23/jul/25;23/jul/25;;;29/jul/25;;;"Carga agendada #: 522192513       BRA EX 25 0333- 0309 DS 120158023  CONTA CONTABIL 500210              Veiculo Placa: KXO7J95  -  Motorista: DANIEL LADEIRA PRAZERES;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYN6481;971;23/jul/25;R$ 1.951,05;jul/25;;23/jul/25;23/jul/25;;;30/jul/25;;;
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22373;24/jul/25;R$ 568,19;jul/25;522927848;24/jul/25;24/jul/25;;;;;;"Carga agendada #: 522927848  - BRA IM 25 2553- 2554- 2550- 2547  WS - CC 110141008  - CONTA CONTABIL 500210;
Veiculo Placa: KXO7J95  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22372;24/jul/25;R$ 1.094,04;jul/25;522927848;24/jul/25;24/jul/25;;;30/jul/25;;;"Carga agendada #: 522927848  - BRA IM 25 2174- 2601  PP - CC 175092701  - CONTA CONTABIL 500210;
Veiculo Placa: KXO7J95  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22371;24/jul/25;R$ 422,83;jul/25;522927848;24/jul/25;24/jul/25;;;30/jul/25;;;"Carga agendada #: 522927848  - BRA IM 25 2725  PPS - CC 150105200  - CONTA CONTABIL 500210;
Veiculo Placa: KXO7J95  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22370;24/jul/25;R$ 577,09;jul/25;522927848;24/jul/25;24/jul/25;;;30/jul/25;;;"Carga agendada #: 522927848  - BRA IM 25 2578- 2572  DS - CC 120158023  - CONTA CONTABIL 500210;
Veiculo Placa: KXO7J95  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22369;24/jul/25;R$ 443,23;jul/25;522927848;24/jul/25;24/jul/25;;;30/jul/25;;;"Carga agendada #: 522927848  - BRA IM 25 1835 DB - CC 160053200  - CONTA CONTABIL 500210;
Veiculo Placa: KXO7J95  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22368;24/jul/25;R$ 708,85;jul/25;522927848;24/jul/25;24/jul/25;;;30/jul/25;;;"Carga agendada #: 522927848  - BRA IM 25 2336 CWI  - CC 870151700  - CONTA CONTABIL 500210;
Veiculo Placa: KXO7J95  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;22366;24/jul/25;R$ 392,24;jul/25;522927848;24/jul/25;24/jul/25;;;;;;"Carga agendada #: 522927848  - BRA IM 25 2652  AL - CC 140010000  - CONTA CONTABIL 500210;
Veiculo Placa: KXO7J95  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KYE1I22;22342;21/jul/25;R$ 1.899,14;jul/25;522247965;21/jul/25;21/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522247965    BRAIM 25 2314 -  2381-2419 PP  CC  175160000 CONTA CONTABIL 500210   Veiculo Placa: KYE1I22  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KYE1I22;22341;21/jul/25;R$ 838,55;jul/25;522247965;21/jul/25;21/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522247965       BRA IM 25 2335  -2351-2426- 2345-2320   CWI CC 870151700  CONTA CONTABIL 500210    Veiculo Placa: KYE1I22  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KYE1I22;22340;21/jul/25;R$ 2.064,86;jul/25;522247965;21/jul/25;21/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522247965     BRA IM 25 2288- 2472-   2245- 2498- 2500-  2562-2480- 2518 DS CC 120158023 CONTA CONTABIL 500210  Veiculo Placa: KYE1I22  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KYE1I22;22339;21/jul/25;R$ 1.673,49;jul/25;522247965;21/jul/25;21/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522247965         BRA IM 25 2367-2527-2523-  2377- 2542-2536  - 2525- 2524-2540- 2531-2376 - WS CC 110141008  CONTA CONTABIL 500210      Veiculo Placa: KYE1I22  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22338;18/jul/25;R$ 2.508,34;jul/25;522102931;18/jul/25;18/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522102931   BRA IM 25 2428-2421  CWI  CC 870151700  CONTA CONTABIL 500210     Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22337;18/jul/25;R$ 877,14;jul/25;522102931;18/jul/25;18/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522102931   BRA IM 25 2526 - 2364 - 2541 WS CC 110141008 CONTA CONTABIL 500210     Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22336;18/jul/25;R$ 784,06;jul/25;522102931;18/jul/25;18/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522102931    BRA IM 25 2437  -2439 -   2440    ALS CC 140010000   CONTA CONTABIL 500210   Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22335;17/jul/25;R$ 878,78;jul/25;522102931;17/jul/25;17/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522102931   BRA IM 25 1831   DB CC 160053200  CONTA CONTABIL 500210   Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22334;17/jul/25;R$ 1.731,69;jul/25;522102931;17/jul/25;17/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522102931  BRA IM 25 2207-2490- 2520- 2502- 2483- 2507- 2222  DS CC 120158023 CONTA CONTABIL 500210   Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22333;17/jul/25;R$ 1.745,09;jul/25;522102931;17/jul/25;17/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522102931 BRA IM 25 2423 -2420- 2422- 2178 PP CC 175160000 CONTA CONTABIL 500210    Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22332;17/jul/25;R$ 827,93;jul/25;522102931;17/jul/25;17/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 522102931    BRA IM 25 2268  DCF   CC  120161004   CONTA CONTABIL 500210  Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22331;16/jul/25;R$ 521,67;jul/25;521941300;16/jul/25;16/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521941300    BRA IM 25 2521  OIC 350090753   CONTA CONTABIL 500210 Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22330;16/jul/25;R$ 2.068,78;jul/25;521941300;16/jul/25;16/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521941300     BRA IM 25 2413  - 2408   PP  CC 175160000 CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22329;16/jul/25;R$ 668,67;jul/25;521941300;16/jul/25;16/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521941300   BRA IM 25 2535-2363- 2372  WS CC 110141008  CONTA CONTABIL 500210     Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22328;16/jul/25;R$ 1.079,67;jul/25;521941300;16/jul/25;16/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521941300   BRA IM 25 2080  - 2188 - 2390 --2399- 2360- 2186- 2355 2535   CWI CC 870151700 CONTA CONTABIL 500210 Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22327;16/jul/25;R$ 1.588,96;jul/25;521941300;16/jul/25;16/jul/25;;;22/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521941300   BRA IM 25 2508-2504- 2271- 2309- 2486 - 2303- 2310  DS CC 120158023 CONTA CONTABIL 500210  Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;972;24/jul/25;R$ 2.117,36;jul/25;;24/jul/25;24/jul/25;;;31/jul/25;;;
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22325;16/jul/25;R$ 550,17;jul/25;521820382;16/jul/25;16/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521820382     BRA IM 25 2321-2326  PP  CC 175160000  CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22324;16/jul/25;R$ 2.404,68;jul/25;521820382;16/jul/25;16/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521820382     BRA IM 25 2060-1507 - 2038  ALS CC 140010000  CONTA CONTABIL 500210    Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22323;16/jul/25;R$ 1.697,82;jul/25;521820382;16/jul/25;16/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521820382     BRAIM 25 2133 WS  CC 110141008  CONTA CONTABIL 500210  Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KOR7G99;22322;16/jul/25;R$ 584,90;jul/25;521820382;16/jul/25;16/jul/25;;;18/jul/25;30/jul/25;30/jul/25;"Carga agendada #: 521820382  BRA IM 25 2343 -2392 CWI CC 870151700 CONTA CONTABIL 500210    Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
